FacultyID,FirstName,LastName,DateOfBirth,Gender,Email,PhoneNumber,HireDate,Department,Title,ResearchInterest,Image
651365,Maxwell,Evans,1962-12-08,Male,gbass@example.com,730.912.5558x1351,2002-10-10,Business,Lecturer,Fact fill chair.,https://picsum.photos/69/658
553756,Gregory,Allen,1959-06-26,Male,eduardolarson@example.org,445-680-9476,2001-05-21,Computer Science,Assistant Professor,Growth measure candidate.,https://placekitten.com/876/269
550158,Paul,Parker,1959-12-05,Male,iperry@example.org,+1-955-647-8287,2013-02-08,Engineering,Associate Professor,Certain song know.,https://picsum.photos/42/808
721850,Katelyn,White,1975-09-15,Female,vdavidson@example.com,8735893055,2010-12-15,Computer Science,Lecturer,Example spring same and field speech.,https://picsum.photos/268/801
876229,John,Ford,1975-12-03,Male,danielwood@example.org,001-567-206-8376,2002-11-10,Computer Science,Professor,Serve my together center fine.,https://placekitten.com/217/976
273630,Maria,Cole,1961-02-10,Female,daniel13@example.org,(684)218-1510,2023-10-05,Computer Science,Professor,Month imagine chair rate.,https://placekitten.com/130/332
255346,Lisa,Stevens,1994-11-22,Male,tracy86@example.com,001-767-868-6969x351,2017-04-26,Business,Associate Professor,Development ask answer claim direction relationship.,https://dummyimage.com/401x614
342385,Joy,Baker,1989-02-07,Female,haysdaniel@example.net,630-832-2017x5651,2004-12-21,Computer Science,Assistant Professor,Drug nor represent expert leave.,https://dummyimage.com/5x329
575454,Antonio,Harrell,1968-05-19,Female,james81@example.net,484-324-1880,2004-03-22,Business,Professor,Standard room budget magazine bring.,https://placekitten.com/291/468
693673,Kelly,Padilla,1976-08-21,Female,hayden42@example.com,636-856-6703,2024-08-29,Business,Professor,Meeting woman apply.,https://picsum.photos/190/541
482170,David,Daniels,1984-08-19,Female,manningsteven@example.org,+1-485-551-8223x24143,2023-11-10,Computer Science,Assistant Professor,Trade hospital me race near always.,https://picsum.photos/214/281
456619,Brian,Ortiz,1973-04-03,Female,linda19@example.net,001-702-522-5360x12025,2008-07-26,Engineering,Assistant Professor,Create miss clearly others amount.,https://placekitten.com/891/291
111377,Sabrina,Ruiz,1983-06-06,Male,tarcher@example.com,6796429487,2011-08-30,Computer Science,Lecturer,Else talk market.,https://dummyimage.com/852x168
630681,Elizabeth,Cross,1967-06-21,Female,angelasimpson@example.org,001-819-301-1468,2020-06-25,Computer Science,Professor,Well dinner feeling talk just listen.,https://picsum.photos/992/696
508913,Elizabeth,Thomas,1972-01-14,Male,burketodd@example.com,999-240-0848,2015-09-20,Computer Science,Professor,Six board establish.,https://picsum.photos/158/697
734401,Cheryl,Petty,1964-07-30,Male,kelly21@example.com,389-417-1260,2005-09-25,Biology,Lecturer,Moment enjoy spend company now head.,https://placekitten.com/966/352
574509,Eric,Moore,1994-04-14,Male,amberbender@example.net,737-356-1611,2015-07-16,Business,Lecturer,Scientist blue sea.,https://picsum.photos/20/8
91630,Cristian,Cox,1968-04-07,Female,madison39@example.net,+1-968-949-9932x10195,2012-12-09,Computer Science,Assistant Professor,Partner dark opportunity he.,https://placekitten.com/735/975
290761,Amanda,Daniels,1970-09-24,Male,smithjustin@example.net,805-782-2671x94541,2002-01-31,Computer Science,Lecturer,Couple discuss easy.,https://picsum.photos/458/658
996663,Julie,Murray,1981-06-17,Male,mackenzie07@example.net,001-349-420-1079x025,2004-09-28,Business,Lecturer,Huge month commercial.,https://placekitten.com/273/709
713426,Robert,Murray,1962-02-01,Female,turnerthomas@example.net,990-745-3437,2014-06-17,Engineering,Professor,South at movie dream.,https://placekitten.com/230/229
909348,Paul,Richardson,1990-09-10,Male,moorebryan@example.net,416-660-9562x56960,2015-02-21,Computer Science,Professor,Ago response style image.,https://placekitten.com/663/300
86799,Alfred,Mccormick,1961-06-17,Male,johnsoncarolyn@example.com,584.933.6142x67083,2018-10-27,Business,Assistant Professor,Foreign since image.,https://placekitten.com/1011/72
552024,Tara,Thompson,1977-03-20,Male,watsonandrew@example.org,(534)227-3859,2016-08-12,Business,Associate Professor,Agree end read order like.,https://placekitten.com/691/959
60848,Jeremy,Walls,1985-12-01,Female,wblake@example.net,+1-794-587-9465x46181,2004-12-01,Engineering,Associate Professor,Reach think draw.,https://picsum.photos/560/898
309233,Danielle,Abbott,1962-04-17,Male,matthewneal@example.org,(258)437-4815x61745,2014-06-29,Computer Science,Assistant Professor,Agree Mrs operation field performance.,https://placekitten.com/950/540
88157,Bradley,West,1975-05-26,Male,moorebrandon@example.org,001-972-726-7816x095,2023-03-13,Computer Science,Lecturer,Black case morning language.,https://placekitten.com/709/415
383011,Megan,Hamilton,1986-07-19,Male,dcarlson@example.org,+1-272-515-1755,2014-12-17,Computer Science,Assistant Professor,Smile early performance full artist hope.,https://dummyimage.com/539x207
196519,Matthew,Cook,1979-01-27,Female,yvonne66@example.com,(346)763-4784x3862,2019-12-22,Business,Associate Professor,Buy yet material.,https://dummyimage.com/589x92
590523,James,Wilson,1981-05-21,Male,markfox@example.net,(940)653-3390,2006-12-26,Engineering,Professor,Together find black.,https://picsum.photos/251/104
