StaffID,FirstName,LastName,DateOfBirth,Gender,Email,PhoneNumber,HireDate,Department,Position,Image
170821,Nicole,Moore,1983-08-29,Female,frocha@example.com,(875)635-9857,2023-09-09,IT,Assistant,https://placekitten.com/585/999
828331,John,Murphy,1987-01-12,Male,agardner@example.org,417.414.3863x8406,2008-08-05,IT,Assistant,https://dummyimage.com/749x103
741023,Renee,Jones,1970-01-07,Male,cross@example.net,001-628-841-9459,2013-01-03,IT,Manager,https://dummyimage.com/764x655
948784,Michael,Palmer,1988-12-31,Male,gibsonmichael@example.com,506-516-5423x101,2013-02-26,HR,Manager,https://picsum.photos/111/781
711440,Veronica,Ward,1968-07-07,Male,alexisbennett@example.net,+1-956-714-9583,2005-03-13,Finance,Manager,https://dummyimage.com/986x1002
112194,Jennifer,Carpenter,1969-02-10,Female,martinezjonathan@example.net,+1-811-825-1035x87215,2004-07-04,Finance,Assistant,https://picsum.photos/535/837
934533,David,Barrett,1966-12-08,Male,megan88@example.org,6656822469,2020-04-01,Administration,Coordinator,https://picsum.photos/612/827
931433,Kellie,Rivera,1968-06-18,Female,lrichardson@example.org,001-941-365-5924x0156,2008-07-18,IT,Manager,https://picsum.photos/923/830
470695,Amanda,Bernard,1969-03-17,Male,qdavis@example.com,406.776.0998,2014-03-08,Finance,Coordinator,https://picsum.photos/995/1008
168964,Kara,Bautista,1988-05-22,Female,zsmith@example.org,001-237-400-7824x735,2006-06-06,Administration,Coordinator,https://picsum.photos/227/864
36077,Samantha,Cooper,1991-01-31,Female,waltonelizabeth@example.net,+1-680-830-1278x7373,2025-01-30,IT,Manager,https://dummyimage.com/443x256
978807,Kristi,Williams,1994-01-23,Male,pittmannathan@example.com,5648395926,2007-07-02,Finance,Coordinator,https://picsum.photos/447/87
388959,Tammy,Morales,1989-09-21,Female,mkrueger@example.net,+1-669-814-7418x1393,2010-01-24,IT,Director,https://dummyimage.com/241x48
59462,Mariah,Rodriguez,1993-10-16,Female,ishea@example.net,875.259.1498x9252,2011-10-29,IT,Coordinator,https://picsum.photos/574/1010
847389,Alicia,Nichols,1979-03-27,Male,danaorr@example.net,355-941-9411,2002-02-17,Finance,Director,https://placekitten.com/613/386
120604,Thomas,Anthony,1991-03-04,Male,cristina67@example.org,+1-304-403-5262,2002-10-01,Administration,Director,https://dummyimage.com/406x466
442079,Jeremy,Carney,1997-07-18,Male,allenchad@example.org,966.581.6956x7288,2004-03-21,Administration,Director,https://placekitten.com/261/821
952022,Emily,Booker,1987-04-21,Female,gonzalezandrew@example.com,794.876.0654x5010,2008-01-10,Finance,Manager,https://dummyimage.com/872x792
925969,Ian,Ramirez,1995-01-09,Male,ericperez@example.org,501-531-4194,2020-11-04,IT,Director,https://picsum.photos/1003/665
894361,Laura,Tate,1987-11-09,Female,olsenjohn@example.org,932.618.0227x21223,2022-09-19,IT,Manager,https://dummyimage.com/757x109
533310,Ronald,Thompson,1997-08-01,Female,rdean@example.org,001-799-818-3451x18636,2003-10-15,IT,Director,https://picsum.photos/800/1023
993238,Matthew,Curtis,1965-04-12,Male,shawn16@example.net,202-445-4322x66448,2007-09-09,HR,Coordinator,https://placekitten.com/318/812
648284,Ryan,Miller,1979-05-07,Female,keith57@example.org,+1-269-340-0300x745,2000-02-09,Administration,Manager,https://picsum.photos/785/419
697583,Mario,Hernandez,1974-02-27,Female,kenneth66@example.com,290-985-1566x663,2011-01-29,IT,Coordinator,https://picsum.photos/69/886
37800,Joshua,Warren,1971-02-20,Male,tara28@example.com,+1-461-367-3404x60207,2008-12-20,Finance,Director,https://placekitten.com/438/643
966425,Angela,Harris,1982-02-28,Female,patricia40@example.com,+1-795-516-3424,2005-12-14,Finance,Coordinator,https://picsum.photos/686/908
225522,Daniel,Park,1972-03-22,Female,xgarcia@example.net,624.217.8217x92940,2015-06-26,IT,Manager,https://placekitten.com/639/608
112263,Amanda,Lopez,1970-02-13,Female,halescott@example.com,548-718-8867,2002-01-13,Finance,Director,https://dummyimage.com/545x989
953020,Latoya,Trevino,1989-10-07,Female,charles88@example.org,4949758734,2012-08-16,HR,Director,https://dummyimage.com/457x401
341100,Ruth,Leonard,1972-12-05,Male,joshuafitzgerald@example.org,+1-518-348-1356,2010-04-05,IT,Assistant,https://picsum.photos/903/84
125237,Regina,Smith,1984-03-11,Female,bbrowning@example.net,3863335082,2024-10-11,Administration,Assistant,https://dummyimage.com/839x885
868060,Nichole,Sandoval,1993-06-08,Male,evanskatherine@example.net,991-921-3404x047,2001-12-07,Finance,Assistant,https://picsum.photos/740/240
440384,Alan,Hull,1966-03-10,Female,alejandra90@example.com,+1-736-638-3636x71827,2021-07-27,Administration,Coordinator,https://placekitten.com/20/1009
573595,Taylor,Thomas,1983-02-28,Male,qreed@example.com,945.841.9837,2007-01-22,HR,Manager,https://picsum.photos/795/396
505068,Dustin,Terry,1979-01-25,Male,johnsonvictoria@example.org,(355)658-4651,2005-04-13,Administration,Manager,https://placekitten.com/288/959
105323,Julie,Ward,1998-10-25,Male,jonesmark@example.org,(607)987-4592x7593,2024-06-23,Administration,Director,https://dummyimage.com/807x361
592265,Terry,Mcgee,1999-03-05,Male,lyoung@example.org,(882)323-5950x89594,2012-09-08,IT,Director,https://placekitten.com/510/512
551677,Martin,Wheeler,1997-05-21,Female,terri99@example.com,801-269-9365x184,2016-04-12,HR,Assistant,https://picsum.photos/80/64
898215,Karen,Robinson,1979-05-28,Male,gcastro@example.org,799.629.7119,2008-07-04,HR,Coordinator,https://picsum.photos/179/486
116084,Eric,Lester,1993-07-25,Male,jbarajas@example.com,+1-526-814-7556,2023-11-12,Finance,Director,https://dummyimage.com/284x107
539392,Tony,Miller,1991-11-17,Male,david54@example.net,(642)772-4699,2011-07-27,IT,Manager,https://placekitten.com/459/183
378734,Mary,Donaldson,1982-08-24,Female,grace36@example.net,(457)964-3367x20703,2014-12-09,Finance,Director,https://placekitten.com/530/960
560692,Benjamin,Frye,1993-05-06,Male,ahamilton@example.net,842-235-0245,2000-08-15,IT,Director,https://dummyimage.com/615x635
980509,Monica,Torres,1983-10-26,Male,tmorrison@example.net,9472496766,2015-02-04,Administration,Coordinator,https://dummyimage.com/858x594
738588,Michelle,Kelly,1981-11-02,Male,tim88@example.net,(861)643-3035,2007-12-10,IT,Coordinator,https://picsum.photos/409/641
84486,Mackenzie,Lopez,1985-02-15,Female,bailey39@example.org,(441)473-4314x205,2012-09-25,IT,Coordinator,https://placekitten.com/420/673
493638,Melanie,Brown,1967-03-24,Female,charlesnoble@example.net,(843)847-0749x3567,2007-04-08,Finance,Director,https://dummyimage.com/113x139
168355,David,Thomas,1982-01-30,Male,nicolelawson@example.com,001-958-380-1304x56103,2002-06-07,Finance,Director,https://dummyimage.com/771x409
806739,Amber,Wilson,1990-07-16,Female,rebeccacook@example.net,695-230-5678x73055,2009-12-19,Finance,Coordinator,https://dummyimage.com/562x124
540754,Christian,Martin,1973-12-24,Male,stephaniehodge@example.org,4237361816,2002-12-26,IT,Manager,https://placekitten.com/624/955
387068,Michael,Barker,1968-05-31,Male,margaret60@example.net,527.761.9939x250,2021-02-17,Administration,Director,https://dummyimage.com/15x343
276714,Kathleen,Lee,1997-10-13,Female,xvaldez@example.org,950.521.6349x67497,2013-06-16,Finance,Coordinator,https://picsum.photos/589/948
588495,Shawn,Williams,1988-02-02,Male,rshaw@example.org,(655)384-6873x358,2003-09-14,Finance,Manager,https://dummyimage.com/15x981
52014,Amanda,Lee,1979-12-13,Female,shawnameyers@example.net,+1-876-712-3047,2007-01-09,IT,Coordinator,https://picsum.photos/124/612
386807,Joel,Fox,1971-08-25,Female,elliottsarah@example.com,001-646-596-4724x6302,2019-08-27,Administration,Assistant,https://picsum.photos/116/151
861896,Garrett,Simpson,1976-06-04,Female,ruizjeffrey@example.com,992.219.6060,2001-07-05,IT,Coordinator,https://dummyimage.com/282x1001
829565,William,Mercer,1995-10-08,Male,meyerjessica@example.com,9403332477,2014-04-15,Finance,Manager,https://dummyimage.com/12x620
760336,Kelly,Young,1985-02-07,Female,christine87@example.net,+1-758-208-3489,2020-02-08,Finance,Coordinator,https://dummyimage.com/23x626
730692,Victoria,Hardin,1984-05-10,Male,christinawatson@example.com,576.893.2330x27059,2015-01-17,Administration,Assistant,https://dummyimage.com/968x503
930411,Gregory,Santos,1969-01-07,Male,melissa33@example.org,+1-548-426-6047x75418,2000-12-15,IT,Director,https://placekitten.com/127/579
214557,Christina,Burton,1975-01-25,Female,beaton@example.com,742.427.7372,2004-04-25,HR,Coordinator,https://picsum.photos/911/437
414828,Angelica,Sullivan,1996-04-23,Male,atkinsheather@example.net,686.270.8312,2010-04-21,HR,Coordinator,https://dummyimage.com/799x870
668190,Todd,Fletcher,1992-03-29,Female,lydiakennedy@example.org,202.289.6940x5218,2021-02-10,Administration,Assistant,https://dummyimage.com/667x359
51724,Jasmine,Gonzales,1976-12-29,Male,edwardsrhonda@example.com,843-996-8439x35117,2020-12-05,HR,Assistant,https://placekitten.com/544/343
32965,Robert,Terrell,1968-10-01,Female,zhendricks@example.org,+1-775-207-3554x1136,2017-11-30,IT,Coordinator,https://placekitten.com/622/379
173261,Jeffrey,Mcdowell,1972-04-10,Male,edward49@example.org,668-227-1539x2554,2002-09-29,Administration,Manager,https://dummyimage.com/395x106
236809,Catherine,Stevenson,1998-01-23,Male,zfaulkner@example.net,(968)248-3016,2017-05-30,Administration,Assistant,https://placekitten.com/801/326
71618,Michelle,Brown,1989-03-30,Female,sbridges@example.com,001-892-431-0845x2865,2024-07-21,Finance,Coordinator,https://placekitten.com/208/499
955352,Melissa,Stanton,1973-10-03,Male,judy40@example.com,332-809-6783x39811,2016-05-26,IT,Manager,https://picsum.photos/117/52
704529,Adam,Patel,1971-09-17,Male,santiagoteresa@example.com,365-838-7879x57080,2013-01-11,Administration,Manager,https://dummyimage.com/836x233
544158,Charles,Li,1979-07-13,Female,mark68@example.org,(844)757-8257x7313,2024-09-06,IT,Assistant,https://placekitten.com/121/934
727958,Tricia,Fernandez,1987-08-18,Female,santosbruce@example.net,245.254.8790x51913,2023-10-30,Administration,Director,https://placekitten.com/896/559
266225,Laura,Nelson,1995-07-09,Male,wallskyle@example.com,001-407-280-5052x01581,2014-12-24,Finance,Assistant,https://dummyimage.com/250x15
628999,Michael,Rhodes,1995-08-23,Male,kellyking@example.com,827.251.1546,2015-09-25,IT,Manager,https://dummyimage.com/566x234
653341,Robert,Olsen,1965-11-29,Male,frencheric@example.net,+1-576-658-8570x318,2005-11-07,IT,Director,https://dummyimage.com/645x133
92713,Nathaniel,Malone,1985-08-18,Male,dromero@example.org,(621)990-2978x4651,2019-01-29,IT,Assistant,https://dummyimage.com/829x410
350902,Jonathan,Wright,1995-03-22,Male,geraldvaughn@example.org,890.751.0868x559,2008-10-18,Administration,Coordinator,https://picsum.photos/775/304
96490,Abigail,Elliott,1970-12-21,Female,codysnyder@example.org,(280)843-2354x637,2013-10-04,IT,Manager,https://placekitten.com/93/449
80797,Randy,Wright,1992-09-27,Female,vazquezsteven@example.net,520-218-0003,2024-12-22,IT,Coordinator,https://dummyimage.com/714x765
701477,Stephen,Grimes,1964-03-22,Female,pavila@example.com,(704)877-8590x5199,2015-01-31,HR,Manager,https://placekitten.com/891/477
644739,Tammy,Ford,1968-09-02,Female,sjackson@example.org,+1-297-287-2653x678,2003-07-19,IT,Assistant,https://picsum.photos/627/1011
721816,Elizabeth,Greene,1992-09-18,Female,brandtcory@example.net,377-646-2552,2021-01-22,Finance,Director,https://picsum.photos/896/774
779415,Luis,Bailey,1984-11-12,Female,walkerlawrence@example.org,938.215.9489x58493,2014-07-04,Finance,Director,https://placekitten.com/702/517
174677,Megan,Jones,1985-11-21,Female,tuckerjeremy@example.org,(704)930-8266x80864,2011-05-14,IT,Assistant,https://dummyimage.com/1x271
847919,Margaret,Cox,1972-07-01,Male,brianmoreno@example.com,001-639-940-6066x11298,2017-06-26,Finance,Manager,https://picsum.photos/374/220
176694,Ashley,Allen,1970-05-29,Male,gcarroll@example.com,001-322-328-9112x6516,2021-08-22,Finance,Assistant,https://dummyimage.com/715x718
88884,Clinton,Curry,1972-08-18,Female,hgray@example.org,(411)551-3534,2017-03-15,Finance,Coordinator,https://dummyimage.com/94x95
268112,Alexander,Thomas,1972-07-08,Female,rschwartz@example.net,283.256.8422x312,2015-06-08,Administration,Assistant,https://placekitten.com/533/692
81333,David,Barnes,1964-03-30,Male,alishalucas@example.net,(817)332-0030,2011-02-06,Finance,Coordinator,https://picsum.photos/821/57
560733,Justin,White,1978-01-09,Male,victoria63@example.net,550.299.6806,2006-08-31,Administration,Director,https://dummyimage.com/606x49
979884,Maria,Norris,1973-06-07,Female,markedwards@example.com,+1-853-400-1610x261,2020-05-07,IT,Manager,https://dummyimage.com/1011x271
181953,Douglas,Wilson,1987-06-23,Female,christian82@example.org,4284507426,2010-06-05,IT,Coordinator,https://dummyimage.com/806x46
960739,Anthony,Davis,1993-05-13,Male,kenneth55@example.org,235-724-8136x4257,2011-04-15,HR,Manager,https://placekitten.com/109/47
774398,Judith,Rose,1982-04-14,Female,patricia02@example.com,+1-447-997-6330x3222,2013-01-11,HR,Assistant,https://picsum.photos/334/230
669195,Kimberly,Lewis,1980-01-28,Male,sheila40@example.net,(591)636-8854x0113,2013-09-17,IT,Director,https://dummyimage.com/316x834
577757,Robert,Mcfarland,1991-12-13,Male,angela83@example.net,001-954-653-5856x0599,2012-11-08,HR,Manager,https://placekitten.com/956/393
